account_alias,date_trunc,net,a_reg_week,a_reg_status,n_regs,improper_format,probable_duplicate,approx_alexa
i1,2016-02-05,122.161.2.0/24,2015-02-23,unconfirmed,1,f,f,7000
g1,2016-02-04,122.167.173.0/24,2015-03-02,unconfirmed,1,f,f,17000
i2,2016-07-15,122.174.52.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-07-15,122.174.52.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-08-11,122.175.13.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-08-11,122.175.13.0/24,2015-02-16,unconfirmed,1,f,f,7000
h1,2016-08-19,122.178.145.0/24,2015-11-23,email-clicked,1,f,f,17000
m1,2017-01-21,122.52.183.0/24,2015-03-02,email-clicked,1,f,f,19500
g1,2016-02-04,123.166.136.0/24,2015-03-02,unconfirmed,1,f,f,17000
i1,2016-02-15,123.18.193.0/24,2015-02-23,unconfirmed,1,f,f,7000
r1,2016-10-30,123.231.106.0/24,2015-03-02,email-clicked,2,f,f,22000
h2,2016-06-28,123.234.130.0/24,2016-05-16,manual,1,f,f,17000
h2,2016-08-14,123.236.54.0/24,2016-05-16,manual,1,f,f,17000
g1,2017-01-21,123.24.161.0/24,2015-03-02,unconfirmed,1,f,f,17000
i2,2016-07-15,123.24.205.0/24,2015-02-16,unconfirmed,1,f,f,7000
i1,2016-02-19,123.28.162.0/24,2015-02-23,unconfirmed,1,f,f,7000
m1,2017-01-21,123.30.76.0/24,2015-03-02,email-clicked,1,f,f,19500
d1,2015-10-30,123.55.159.0/24,2015-03-02,email-clicked,1,f,f,20000
h1,2016-09-20,124.123.142.0/24,2015-11-23,email-clicked,1,f,f,17000
f1,2016-11-22,124.163.168.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-18,124.163.60.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-12-01,124.163.63.0/24,2015-03-02,email-clicked,1,f,f,18000
m1,2017-01-12,124.207.250.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2015-10-29,124.25.94.0/24,2015-03-02,email-clicked,1,f,f,18000
m2,2016-08-27,1.244.46.0/24,2015-03-02,email-clicked,1,f,f,19500
