account_alias,date_trunc,net,a_reg_week,a_reg_status,n_regs,improper_format,probable_duplicate,approx_alexa
m2,2016-08-10,176.67.8.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-10,176.67.8.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-10,176.67.8.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-10,176.67.8.0/24,2015-03-02,email-clicked,1,f,t,19500
m1,2016-05-30,176.8.69.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-06-05,176.8.69.0/24,2015-03-02,email-clicked,1,f,f,19500
k1,2016-03-21,176.98.26.0/24,2015-03-02,email-clicked,1,f,f,20000
k1,2016-03-21,176.98.26.0/24,2015-03-02,email-clicked,1,f,t,20000
q1,2016-09-04,177.0.195.0/24,2015-03-02,unconfirmed,1,f,f,21500
g1,2016-03-16,177.125.37.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2016-02-28,177.126.227.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2016-02-04,177.131.56.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2017-01-16,177.142.160.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2017-01-14,177.194.158.0/24,2015-03-02,unconfirmed,1,f,f,17000
h1,2016-09-12,177.206.67.0/24,2015-11-23,email-clicked,1,f,f,17000
b1,2015-08-06,177.206.82.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2016-07-18,177.228.41.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2016-07-18,177.228.41.0/24,2015-03-02,unconfirmed,1,f,f,8000
g1,2016-02-04,177.33.49.0/24,2015-03-02,unconfirmed,1,f,f,17000
m2,2016-09-01,177.37.231.0/24,2015-03-02,email-clicked,1,f,f,19500
r2,2017-01-25,177.64.170.0/24,2016-01-18,email-clicked,2,f,f,22000
i2,2016-09-10,177.67.96.0/24,2015-02-16,unconfirmed,1,f,f,7000
r1,2017-01-21,177.81.147.0/24,2015-03-02,email-clicked,2,f,f,22000
